date,count
2018-01-01,
2018-01-02,37267
2018-01-03,40394
2018-01-04,
2018-01-05,
2018-01-06,30191
2018-01-07,31338
2018-01-08,45033
2018-01-09,
2018-01-10,
2018-01-11,
2018-01-12,
2018-01-13,
2018-01-14,
2018-01-15,
2018-01-16,48467
2018-01-17,
2018-01-18,49255
2018-01-19,45118
2018-01-20,35146
2018-01-21,35162
2018-01-22,50299
2018-01-23,51817
2018-01-24,
2018-01-25,49046
2018-01-26,45524
2018-01-27,
2018-01-28,
2018-01-29,50018
2018-01-30,52121
2018-01-31,
2018-02-01,
2018-02-02,
2018-02-03,
2018-02-04,
2018-02-05,
2018-02-06,
2018-02-07,51569
2018-02-08,49632
2018-02-09,45566
2018-02-10,34082
2018-02-11,
2018-02-12,48069
2018-02-13,46934
2018-02-14,
2018-02-15,
2018-02-16,40169
2018-02-17,
2018-02-18,
2018-02-19,
2018-02-20,
2018-02-21,
2018-02-22,
2018-02-23,
2018-02-24,
2018-02-25,
2018-02-26,
2018-02-27,
2018-02-28,
2018-03-01,51836
2018-03-02,47576
2018-03-03,
2018-03-04,37584
2018-03-05,54112
2018-03-06,
2018-03-07,54624
2018-03-08,53119
2018-03-09,50031
2018-03-10,
2018-03-11,
2018-03-12,
2018-03-13,58254
2018-03-14,
2018-03-15,53525
2018-03-16,
2018-03-17,
2018-03-18,
2018-03-19,
2018-03-20,
2018-03-21,
2018-03-22,
2018-03-23,
2018-03-24,
2018-03-25,
2018-03-26,
2018-03-27,
2018-03-28,
2018-03-29,
2018-03-30,
2018-03-31,
2018-04-01,
2018-04-02,
2018-04-03,
2018-04-04,
2018-04-05,
2018-04-06,
2018-04-07,39902
2018-04-08,44707
2018-04-09,55804
2018-04-10,57482
2018-04-11,55528
2018-04-12,56202
2018-04-13,50092
2018-04-14,38715
2018-04-15,38995
2018-04-16,56311
2018-04-17,57192
2018-04-18,
2018-04-19,53876
2018-04-20,51241
2018-04-21,38012
2018-04-22,
2018-04-23,
2018-04-24,57284
2018-04-25,
2018-04-26,53431
2018-04-27,48127
2018-04-28,37119
2018-04-29,33653
2018-04-30,43502
2018-05-01,43850
2018-05-02,51964
2018-05-03,
2018-05-04,47732
2018-05-05,35937
2018-05-06,35986
2018-05-07,
2018-05-08,
2018-05-09,52566
2018-05-10,51993
2018-05-11,48110
2018-05-12,35630
2018-05-13,36056
2018-05-14,53810
2018-05-15,
2018-05-16,
2018-05-17,
2018-05-18,
2018-05-19,
2018-05-20,36197
2018-05-21,
2018-05-22,
2018-05-23,
2018-05-24,52418
2018-05-25,48156
2018-05-26,34211
2018-05-27,
2018-05-28,
2018-05-29,
2018-05-30,52486
2018-05-31,51229
2018-06-01,46205
2018-06-02,34774
2018-06-03,36910
2018-06-04,54958
2018-06-05,57421
2018-06-06,55869
2018-06-07,53987
2018-06-08,48698
2018-06-09,36176
2018-06-10,36611
2018-06-11,51387
2018-06-12,53872
2018-06-13,51412
2018-06-14,48324
2018-06-15,
2018-06-16,
2018-06-17,
2018-06-18,
2018-06-19,
2018-06-20,
2018-06-21,48406
2018-06-22,45024
2018-06-23,33443
2018-06-24,33442
2018-06-25,
2018-06-26,
2018-06-27,50445
2018-06-28,48784
2018-06-29,47278
2018-06-30,32658
2018-07-01,
2018-07-02,49272
2018-07-03,
2018-07-04,46853
2018-07-05,
2018-07-06,
2018-07-07,
2018-07-08,
2018-07-09,
2018-07-10,
2018-07-11,
2018-07-12,
2018-07-13,
2018-07-14,
2018-07-15,
2018-07-16,
2018-07-17,
2018-07-18,
2018-07-19,
2018-07-20,
2018-07-21,
2018-07-22,
2018-07-23,
2018-07-24,52296
2018-07-25,
2018-07-26,
2018-07-27,
2018-07-28,
2018-07-29,
2018-07-30,
2018-07-31,
2018-08-01,
2018-08-02,
2018-08-03,
2018-08-04,
2018-08-05,
2018-08-06,
2018-08-07,
2018-08-08,51671
2018-08-09,50087
2018-08-10,
2018-08-11,
2018-08-12,
2018-08-13,
2018-08-14,
2018-08-15,
2018-08-16,
2018-08-17,
2018-08-18,
2018-08-19,
2018-08-20,
2018-08-21,51417
2018-08-22,51722
2018-08-23,51943
2018-08-24,49526
2018-08-25,
2018-08-26,
2018-08-27,52400
2018-08-28,
2018-08-29,56426
2018-08-30,55408
2018-08-31,
